Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
Grand Theft Auto V,2014,Action,Rockstar Games,6.06,9.71,0.6,3.02,19.39
Call of Duty: Black Ops 3,2015,Shooter,Activision,6.18,6.05,0.41,2.44,15.09
Red Dead Redemption 2,2018,Action-Adventure,Rockstar Games,5.26,6.21,0.21,2.26,13.94
Call of Duty: WWII,2017,Shooter,Activision,4.67,6.21,0.4,2.12,13.4
FIFA 18,2017,Sports,EA Sports,1.27,8.64,0.15,1.73,11.8
FIFA 17,2016,Sports,Electronic Arts,1.26,7.95,0.12,1.61,10.94
Uncharted (PS4),2016,Action,Sony Interactive Entertainment,4.49,3.93,0.21,1.7,10.33
Spider-Man (PS4),2018,Action-Adventure,Sony Interactive Entertainment,3.64,3.39,0.32,1.41,8.76
Call of Duty: Infinite Warfare,2016,Shooter,Activision,3.11,3.83,0.19,1.36,8.48
Fallout 4,2015,Role-Playing,Bethesda Softworks,2.91,3.97,0.27,1.34,8.48
FIFA 16,2015,Sports,EA Sports,1.15,5.77,0.07,1.23,8.22
Star Wars Battlefront 2015,2015,Shooter,Electronic Arts,3.31,3.19,0.23,1.3,8.03
Call of Duty: Advanced Warfare,2014,Shooter,Activision,2.84,3.34,0.14,1.22,7.53
Battlefield 1,2016,Shooter,Electronic Arts,2.2,3.65,0.29,1.12,7.26
The Last of Us,2014,Action-Adventure,Sony Computer Entertainment,2.7,2.86,0.11,1.1,6.77
MineCraft,2014,Misc,Sony Computer Entertainment,1.89,3.13,0.35,0.96,6.33
FIFA 15,2014,Sports,EA Sports,0.83,4.49,0.05,0.94,6.32
God of War (PS4),2018,Action,Sony Interactive Entertainment,2.83,2.17,0.13,1.02,6.15
Date-A-Live Twin Edition: Rio Reincarnation,2017,Adventure,Compile Heart,0,0,0.01,0,0.01
Valhalla Hills,2017,Strategy,Kalypso Media,0.01,0,0,0,0.01
Deception IV: Blood Ties,2015,Action,Tecmo Koei,0,0,0.01,0,0.01
One Piece: Unlimited World Red,2017,Action,Namco Bandai Games,0,0,0.01,0,0.01
Hyper Light Drifter,2017,Role-Playing,Active Gaming Media,0,0,0.01,0,0.01
Teslagrad,2014,Platform,Rain Games,0,0.01,0,0,0.01
Darius Burst: Chronicle Saviours,2017,Action,Kadokawa Games,0,0,0.01,0,0.01
The Escapists: The Walking Dead,2016,Action,Team17 Software,0,0,0,0,0.01
Super Meat Boy,2016,Platform,Team Meat,0,0,0,0,0.01
Blood Bowl 2,2015,Sports,Focus Home Interactive,0,0,0,0,0
The Witness,2016,Misc,"Thekla, Inc.",0,0,0,0,0
Quantic Dream Collection,2015,Action,Sony Computer Entertainment,0,0,0,0,0
Iwaihime: Matsuri,2017,Adventure,Nippon Ichi Software,0,0,0,0,0
RepKiss,2017,Adventure,Entergram,0,0,0,0,0
War Thunder,2017,Action,DMM Games,0,0,0,0,0
Tsuihou Senkyo,2017,Adventure,Nippon Ichi Software,0,0,0,0,0
Hustle Kings VR,2016,Sports,Sony Interactive Entertainment,0,0,0,0,0
Toki Tori 2+,2016,Puzzle,Two Tribes,0,0,0,0,0
Deception IV: The Nightmare Princess,2015,Action,Tecmo Koei,0,0,0,0,0
Kingdom Hearts HD I.5 + II.5 ReMIX,2017,Action,Square Enix,0,0,0,0,0
Fushigi no Chronicle: Furikaerimasen Katsu Madewa,2015,Action,Spike Chunsoft,0,0,0,0,0
A Boy and His Blob,N/A,Platform,,0,0,0,0,0
Agatha Christie: The ABC Murders,2016,Adventure,Microids,0,0,0,0,0
Ancients of Ooga - The Forgotten Chapters,2016,Platform,Koch Media,0,0,0,0,0
Another World,N/A,Adventure,,0,0,0,0,0
Ape Escape 2,N/A,Platform,,0,0,0,0,0
Bee Tap Extreme,N/A,Action,,0,0,0,0,0
Blacklight: Retribution,2013,Misc,Perfect World Entertainment,0,0,0,0,0
Bladestorm: The Hundred Years' War,2015,Action,BioWare,0,0,0,0,0
Brothers in Arms: Furious 4,2019,Shooter,Ubisoft,0,0,0,0,0
Cel Damage,N/A,Misc,,0,0,0,0,0
Woolfe: The Red Hood Diaries,N/A,Adventure,,0,0,0,0,0
Dark Cloud 2,N/A,Role-Playing,,0,0,0,0,0
DC Universe Online,2013,MMO,Sony Online Entertainment,0,0,0,0,0
